"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-buyukcekmece-mimar-sinan-merkez-kiralik/daire/0-43554391","2","7.000","19-02-2025","Kiralık Daire","3 +
                          1","180 m²","15
                        Yaşında","Zemin","","","","Kiralık (oda) Açıklamayı Oku","İstanbul / Büyükçekmece / Mimar Sinan Merkez Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/3/4/5/5/3/4/1729116523568-43554391.jpg","",""
"https://www.hepsiemlak.com/istanbul-pendik-yenisehir-kiralik/daire/116955-5479","12","9.000","08-04-2025","Kiralık Daire","1 +
                          1","24 m²","30
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Pendik Kurtköy Belde İş Merkezin' De Kiralık Ofis","İstanbul / Pendik / Yenişehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-fores-116955/serpil-tezgorur-3406124","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/8/7/3/4/4/4/13f0523b-6b71-406b-8d9a-c91a6fe73cf8.jpg","Kw Fores","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg"
"https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karlitepe-kiralik/daire/101063-790","31","29.000","26-04-2025","Kiralık Daire","3 +
                          1","125 m²","5
                        Yaşında","1. Kat","","","","Eyüpsultanda - Eyüp Devlet Hastanesinin Üst Kısmında , Piyer Loti Yakınında ,Kiralık 3+1 Daire","İstanbul / Gaziosmanpaşa / Karlıtepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/0/4/0/2/3/4/ec683037-8a45-4a71-9524-e5c8406bdd0e.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/residence/6220-20973","40","85.000","05-05-2025","Kiralık Residence","2 +
                          1","140 m²","13
                        Yaşında","9. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Maslak Eclıpse Full Eşyalı Orman Manzara Kiralık 2+1 Residence","İstanbul / Sarıyer / Maslak Mah.","https://www.hepsiemlak.com/emlak-ofisi/db-gayrimenkul-mashattan-eclipse-1453-maslak-6220","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/2/2/6/0/0/c2e09c8b-f626-48bd-9660-538a2857dd8b.jpg","Db Gayrimenkul Mashattan Eclıpse 1453 Maslak",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-pinartepe-kiralik/daire/28683-759","20","50.000","25-04-2025","Kiralık Daire","3 +
                          1","180 m²","11
                        Yaşında","2. Kat","","","","3801-İstanbul Büyükçekmece  Pınartepe Mahallesi Deniz Manzaralı  Kiralık Daire","İstanbul / Büyükçekmece / Pınartepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/darussafaka-cemiyeti-28683/darussafaka-cemiyeti-28683","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/3/8/6/8/2/0/d1ab835a-225a-4226-ae9e-e3a5f7a456ee.jpg","Darüşşafaka Cemiyeti","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/8/6/8/2/0/e854d4fd-79b5-4644-9b72-3d79fdcc5bfc.jpg"
"https://www.hepsiemlak.com/istanbul-beyoglu-huseyinaga-kiralik/daire/45647-1830","16","25.000","28-03-2025","Kiralık Daire","Stüdyo","40 m²","120
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Beyoğlu'nda Merkezde Yenilenmiş Taş Binada Yüksek Tavanlı Full Eşyalı Klimalı (40)m2 Stüdyo Daire","İstanbul / Beyoğlu / Hüseyinağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/can-emlak-cihangir-45647","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/4/6/5/4/0/6d68d7c0-308d-4d55-9341-4a3f22b1e563.jpg","Can Emlak Cihangir",""
"https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-kiralik/daire/138934-57","13","12.500","05-03-2025","Kiralık Daire","1 +
                          1","55 m²","30
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Yahya Kemal Mahallesi Gültepede Kiralık 1+1 Daire","İstanbul / Kağıthane / Yahya Kemal Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/5/7/3/2/4/4/1740341497865-44237559.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/7204-26694","29","45.000","01-05-2025","Kiralık Daire","2 +
                          1","200 m²","18
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Tarabya’da Bahçe Kullanımlı Metroya Ve Sahile Yakın Kiralık 2+1 Daire","İstanbul / Sarıyer / Tarabya Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-mujde-7204/ali-demirkaya-2728009","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/9/5/3/3/4/4/4/1744032607-62921-44433595.jpeg","Remax Müjde","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/0/0/8/2/7/2/46534b32-07e6-4df6-b461-b9c81e7371fd.jpg"
"https://www.hepsiemlak.com/istanbul-kagithane-sultan-selim-kiralik/daire/43996-24218","21","15.000","30-04-2025","Kiralık Daire","3 +
                          1","110 m²","30
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Koyuyeşil`den Anıt Durağına 250m Balkonlu Kiralık Daire","İstanbul / Kağıthane / Sultan Selim Mah.","https://www.hepsiemlak.com/emlak-ofisi/koyuyesil-gayrimenkul-43996","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/4/8/8/1/4/4/ba36701f-9a3b-499d-9238-058c3c4de1c7.jpg","Koyuyeşil Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/9/9/3/4/0/4a9af117-1bb7-4ce4-bcdb-06dbfa06524d.jpg"
"https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/80253-775","22","32.500","01-05-2025","Kiralık Daire","1 +
                          1","65 m²","40
                        Yaşında","Ara Kat","","","","Osmanağa Mahallesi'nde Rıhtıma 3 Dakika 1+1 Ferah Kombili Daire!","İstanbul / Kadıköy / Rasimpaşa Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/8/5/0/0/8/1/4/faffe84d-e290-435d-bb2d-230a74e65377.jpg","",""
"https://www.hepsiemlak.com/istanbul-sariyer-huzur-kiralik/daire/2525-19135","29","47.000","14-03-2025","Kiralık Daire","3 +
                          1","100 m²","30
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ayazağa Oyak Sitesi 41. Blokta En Üst Kat Eşyalı Kiralık Daire","İstanbul / Sarıyer / Huzur Mah.","https://www.hepsiemlak.com/emlak-ofisi/kw-platin-2525/gokhan-kum-1775832","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/4/8/9/1/3/4/4/39dfbd0f-96ce-41a7-8007-b707202e3f3a.jpg","Kw Platin","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/3/8/5/7/7/1/28151032-76da-4a5d-a8ca-e9f81a6354d8.jpg"
