city,district,neighborhood,room,living_room,area,age,floor,price,area_per_room
istanbul,sariyer,istinye,1,1,85,50,1,55000,42
istanbul,sisli,mecidiyekoy,2,1,85,1,2,52500,28
istanbul,kagithane,merkez,2,1,105,3,8,31000,35
istanbul,kucukcekmece,gultepe,5,1,200,25,6,31000,33
istanbul,umraniye,cakmak,2,1,70,12,1,18000,23
istanbul,bakirkoy,yesilkoy,3,1,170,13,-2,66000,42
istanbul,tuzla,istasyon,2,1,93,12,2,37000,31
istanbul,uskudar,cengelkoy,2,1,124,2,-2,55000,41
istanbul,tuzla,yayla,3,1,115,25,1,19500,28
istanbul,kagithane,gultepe,1,1,74,6,1,18500,37
istanbul,sisli,halide_edip_adivar,2,1,80,10,-2,25000,26
istanbul,bahcelievler,siyavuspasa,3,1,115,38,5,16000,28
istanbul,uskudar,aziz_mahmut_hudayi,2,1,85,7,-2,34000,28
istanbul,maltepe,idealtepe,2,1,120,6,4,50000,40
istanbul,kucukcekmece,kartaltepe,2,1,65,14,-2,18000,21
istanbul,sancaktepe,abdurrahmangazi,2,1,120,0,-2,42000,40
istanbul,sisli,cumhuriyet,1,1,68,13,4,30000,34
istanbul,kadikoy,hasanpasa,2,1,105,26,3,35000,35
istanbul,kagithane,hurriyet,2,1,65,0,2,23000,21
istanbul,besiktas,gayrettepe,1,1,80,1,2,45000,40
istanbul,besiktas,abbasaga,1,1,55,3,1,33000,27
istanbul,uskudar,valide_i_atik,2,1,75,40,1,27500,25
istanbul,kagithane,ortabayir,1,1,65,7,5,21000,32
istanbul,fatih,mevlanakapi,2,1,70,38,3,22000,23
istanbul,besiktas,mecidiye,2,1,85,35,3,25000,28
istanbul,kadikoy,19_mayis,3,1,135,26,5,42000,33
istanbul,cekmekoy,cumhuriyet,2,1,85,8,3,21000,28
istanbul,sisli,kustepe,1,1,55,2,3,27500,27
istanbul,besiktas,gayrettepe,2,1,75,30,-3,35000,25
